Transaction Date,Owner,Ticker,Asset Name,Asset Type,Transaction Type,Amount,Comment,Last Name,First Name,Date Received,Bioguide ID
05/10/2024,Joint,CLF,Cleveland-Cliffs Inc Option Type: Put Strike price: $17.00 Expires: 01/17/2025,Stock Option,Purchase,"$1,001 - $15,000",--,Tuberville,Thomas H,06/14/2024,T000278
05/10/2024,Joint,GILD,Gilead Sciences Inc Option Type: Put Strike price: $70.00 Expires: 11/15/2024,Stock Option,Purchase,"$1,001 - $15,000",--,Tuberville,Thomas H,06/14/2024,T000278
05/10/2024,Joint,GILD,Gilead Sciences Inc Option Type: Put Strike price: $70.00 Expires: 11/15/2024,Stock Option,Purchase,"$1,001 - $15,000",--,Tuberville,Thomas H,06/14/2024,T000278
05/10/2024,Joint,GILD,Gilead Sciences Inc Option Type: Put Strike price: $70.00 Expires: 11/15/2024,Stock Option,Purchase,"$1,001 - $15,000",--,Tuberville,Thomas H,06/14/2024,T000278
05/10/2024,Joint,PARA,Paramount Global Cl B,Stock,Sale (Full),"$100,001 - $250,000",--,Tuberville,Thomas H,06/14/2024,T000278
05/10/2024,Joint,CLF,Cleveland-Cliffs Inc Option Type: Call Strike price: $17.00 Expires: 06/21/2024,Stock Option,Purchase,"$1,001 - $15,000",--,Tuberville,Thomas H,06/14/2024,T000278
05/10/2024,Joint,CLF,Cleveland-Cliffs Inc Option Type: Call Strike price: $17.00 Expires: 06/21/2024,Stock Option,Purchase,"$1,001 - $15,000",--,Tuberville,Thomas H,06/14/2024,T000278
05/10/2024,Joint,CLF,Cleveland-Cliffs Inc Option Type: Call Strike price: $17.00 Expires: 06/21/2024,Stock Option,Purchase,"$1,001 - $15,000",--,Tuberville,Thomas H,06/14/2024,T000278
05/10/2024,Joint,CLF,Cleveland-Cliffs Inc Option Type: Call Strike price: $17.00 Expires: 06/21/2024,Stock Option,Purchase,"$1,001 - $15,000",--,Tuberville,Thomas H,06/14/2024,T000278
05/10/2024,Joint,INTC,Intel Corporation - Common Stock,Stock,Sale (Partial),"$100,001 - $250,000",--,Tuberville,Thomas H,06/14/2024,T000278
05/10/2024,Joint,CLF,Cleveland-Cliffs Inc,Stock,Sale (Partial),"$1,001 - $15,000",--,Tuberville,Thomas H,06/14/2024,T000278
05/10/2024,Joint,CLF,Cleveland-Cliffs Inc,Stock,Sale (Partial),"$15,001 - $50,000",--,Tuberville,Thomas H,06/14/2024,T000278
05/10/2024,Joint,CLF,Cleveland-Cliffs Inc,Stock,Sale (Partial),"$50,001 - $100,000",--,Tuberville,Thomas H,06/14/2024,T000278
05/10/2024,Joint,CLF,Cleveland-Cliffs Inc,Stock,Sale (Partial),"$50,001 - $100,000",--,Tuberville,Thomas H,06/14/2024,T000278
05/10/2024,Joint,CLF,Cleveland-Cliffs Inc,Stock,Sale (Partial),"$100,001 - $250,000",--,Tuberville,Thomas H,06/14/2024,T000278
05/09/2024,Joint,KEY,Keycorp Option Type: Put Strike price: $15.00 Expires: 09/20/2024,Stock Option,Purchase,"$1,001 - $15,000",--,Tuberville,Thomas H,06/14/2024,T000278
05/09/2024,Joint,INTC,Intel Corporation - Common Stock,Stock,Purchase,"$50,001 - $100,000",--,Tuberville,Thomas H,06/14/2024,T000278
05/08/2024,Joint,GOLD,Barrick Gold Corp Option Type: Put Strike price: $17.00 Expires: 01/17/2025,Stock Option,Purchase,"$1,001 - $15,000",--,Tuberville,Thomas H,06/14/2024,T000278
05/08/2024,Joint,GOLD,Barrick Gold Corp Option Type: Put Strike price: $17.00 Expires: 01/17/2025,Stock Option,Purchase,"$1,001 - $15,000",--,Tuberville,Thomas H,06/14/2024,T000278
05/08/2024,Joint,ADBE,Adobe Systems Inc Option Type: Put Strike price: $500.00 Expires: 12/20/2024,Stock Option,Purchase,"$15,001 - $50,000",--,Tuberville,Thomas H,06/14/2024,T000278
05/08/2024,Joint,SWKS,"Skyworks Solutions, Inc. - Common Stock",Stock,Sale (Full),"$1,001 - $15,000",--,Tuberville,Thomas H,06/14/2024,T000278
05/08/2024,Joint,INTC,Intel Corporation - Common Stock,Stock,Purchase,"$100,001 - $250,000",--,Tuberville,Thomas H,06/14/2024,T000278
05/08/2024,Joint,GILD,"Gilead Sciences, Inc. - Common Stock",Stock,Sale (Full),"$1,001 - $15,000",--,Tuberville,Thomas H,06/14/2024,T000278
05/07/2024,Joint,FITB,Fifth Third Bancorp - Common Stock Option Type: Call Strike price: $30.00 Expires: 05/17/2024,Stock Option,Purchase,"$1,001 - $15,000",--,Tuberville,Thomas H,06/14/2024,T000278
05/07/2024,Joint,GOLD,Barrick Gold Corp Option Type: Call Strike price: $20.00 Expires: 01/17/2025,Stock Option,Purchase,"$1,001 - $15,000",--,Tuberville,Thomas H,06/14/2024,T000278
05/07/2024,Joint,CLF,Cleveland-Cliffs Inc Option Type: Call Strike price: $20.00 Expires: 06/21/2024,Stock Option,Purchase,"$1,001 - $15,000",--,Tuberville,Thomas H,06/14/2024,T000278
05/07/2024,Joint,CVX,Chevron Corporation Common Stock Option Type: Put Strike price: $145.00 Expires: 09/20/2024,Stock Option,Purchase,"$1,001 - $15,000",--,Tuberville,Thomas H,06/14/2024,T000278
05/07/2024,Joint,CLF,Cleveland-Cliffs Inc Option Type: Call Strike price: $20.00 Expires: 11/15/2024,Stock Option,Purchase,"$1,001 - $15,000",--,Tuberville,Thomas H,06/14/2024,T000278
05/07/2024,Joint,CCJ,Cameco Corporation Common Stock Option Type: Put Strike price: $45.00 Expires: 09/20/2024,Stock Option,Purchase,"$1,001 - $15,000",--,Tuberville,Thomas H,06/14/2024,T000278
05/07/2024,Joint,LSCC,Lattice Semiconductor Corporation - Common Stock,Stock,Sale (Full),"$1,001 - $15,000",--,Tuberville,Thomas H,06/14/2024,T000278
05/07/2024,Joint,INTC,Intel Corporation - Common Stock,Stock,Purchase,"$100,001 - $250,000",--,Tuberville,Thomas H,06/14/2024,T000278
05/07/2024,Joint,FITB,Fifth Third Bancorp - Common Stock,Stock,Sale (Full),"$15,001 - $50,000",--,Tuberville,Thomas H,06/14/2024,T000278
05/07/2024,Joint,GOLD,Barrick Gold Corp,Stock,Sale (Full),"$100,001 - $250,000",--,Tuberville,Thomas H,06/14/2024,T000278
05/07/2024,Joint,WMS,"Advanced Drainage Systems, Inc. Common Stock",Stock,Sale (Full),"$1,001 - $15,000",--,Tuberville,Thomas H,06/14/2024,T000278
05/03/2024,Joint,WAT,Waters Corporation Common Stock,Stock,Sale (Full),"$1,001 - $15,000",--,Tuberville,Thomas H,06/14/2024,T000278
05/03/2024,Joint,V,Visa Inc.,Stock,Sale (Full),"$1,001 - $15,000",--,Tuberville,Thomas H,06/14/2024,T000278
05/03/2024,Joint,VRTX,Vertex Pharmaceuticals Incorporated - Common Stock,Stock,Sale (Full),"$1,001 - $15,000",--,Tuberville,Thomas H,06/14/2024,T000278
05/03/2024,Joint,VRSK,"Verisk Analytics, Inc. - Common Stock",Stock,Sale (Full),"$1,001 - $15,000",--,Tuberville,Thomas H,06/14/2024,T000278
05/03/2024,Joint,UI,Ubiquiti Inc. Common Stock,Stock,Sale (Full),"$1,001 - $15,000",--,Tuberville,Thomas H,06/14/2024,T000278
05/03/2024,Joint,TER,"Teradyne, Inc. - Common Stock",Stock,Sale (Full),"$1,001 - $15,000",--,Tuberville,Thomas H,06/14/2024,T000278
05/03/2024,Joint,TEL,Te Connectivity Ltd,Stock,Sale (Full),"$1,001 - $15,000",--,Tuberville,Thomas H,06/14/2024,T000278
05/03/2024,Joint,SNPS,"Synopsys, Inc. - Common Stock",Stock,Sale (Full),"$1,001 - $15,000",--,Tuberville,Thomas H,06/14/2024,T000278
05/03/2024,Joint,SOLV,Solventum Corporation Common Stock,Stock,Purchase,"$1,001 - $15,000",--,Tuberville,Thomas H,06/14/2024,T000278
05/03/2024,Joint,--,ROLLS-ROYCE HOLDINGS PLC ADR,Stock,Sale (Full),"$1,001 - $15,000",--,Tuberville,Thomas H,06/14/2024,T000278
05/03/2024,Joint,--,ROLLS-ROYCE HOLDINGS PLC ADR,Stock,Sale (Partial),"$1,001 - $15,000",--,Tuberville,Thomas H,06/14/2024,T000278
05/03/2024,Joint,--,ROLLS-ROYCE HOLDINGS PLC ADR,Stock,Sale (Partial),"$1,001 - $15,000",--,Tuberville,Thomas H,06/14/2024,T000278
05/03/2024,Joint,RMD,ResMed Inc. Common Stock,Stock,Sale (Full),"$1,001 - $15,000",--,Tuberville,Thomas H,06/14/2024,T000278
05/03/2024,Joint,RELX,Relx Plc ADR,Stock,Sale (Full),"$1,001 - $15,000",--,Tuberville,Thomas H,06/14/2024,T000278
05/03/2024,Joint,QLYS,"Qualys, Inc. - Common Stock",Stock,Sale (Full),"$1,001 - $15,000",--,Tuberville,Thomas H,06/14/2024,T000278
05/03/2024,Joint,PG,Procter & Gamble Company (The) Common Stock,Stock,Sale (Full),"$1,001 - $15,000",--,Tuberville,Thomas H,06/14/2024,T000278
05/03/2024,Joint,PFE,"Pfizer, Inc. Common Stock",Stock,Sale (Full),"$15,001 - $50,000",--,Tuberville,Thomas H,06/14/2024,T000278
05/03/2024,Joint,PEP,"PepsiCo, Inc. - Common Stock",Stock,Sale (Full),"$1,001 - $15,000",--,Tuberville,Thomas H,06/14/2024,T000278
05/03/2024,Joint,PYPL,"PayPal Holdings, Inc. - Common Stock",Stock,Sale (Full),"$100,001 - $250,000",--,Tuberville,Thomas H,06/14/2024,T000278
05/03/2024,Joint,PAYX,"Paychex, Inc. - Common Stock",Stock,Sale (Full),"$1,001 - $15,000",--,Tuberville,Thomas H,06/14/2024,T000278
05/03/2024,Joint,ODFL,"Old Dominion Freight Line, Inc. - Common Stock",Stock,Sale (Full),"$1,001 - $15,000",--,Tuberville,Thomas H,06/14/2024,T000278
05/03/2024,Joint,NDSN,Nordson Corporation - Common Stock,Stock,Sale (Full),"$1,001 - $15,000",--,Tuberville,Thomas H,06/14/2024,T000278
05/03/2024,Joint,NXPI,NXP Semiconductors N.V. - Common Stock,Stock,Sale (Full),"$1,001 - $15,000",--,Tuberville,Thomas H,06/14/2024,T000278
05/03/2024,Joint,NFLX,"Netflix, Inc. - Common Stock",Stock,Sale (Full),"$1,001 - $15,000",--,Tuberville,Thomas H,06/14/2024,T000278
05/03/2024,Joint,MSI,"Motorola Solutions, Inc. Common Stock",Stock,Sale (Full),"$1,001 - $15,000",--,Tuberville,Thomas H,06/14/2024,T000278
05/03/2024,Joint,MCO,Moody's Corporation Common Stock,Stock,Sale (Full),"$1,001 - $15,000",--,Tuberville,Thomas H,06/14/2024,T000278
05/03/2024,Joint,MPWR,"Monolithic Power Systems, Inc. - Common Stock",Stock,Sale (Full),"$1,001 - $15,000",--,Tuberville,Thomas H,06/14/2024,T000278
05/03/2024,Joint,MA,Mastercard Incorporated Common Stock,Stock,Sale (Full),"$1,001 - $15,000",--,Tuberville,Thomas H,06/14/2024,T000278
05/03/2024,Joint,LULU,lululemon athletica inc. - Common Stock,Stock,Sale (Full),"$1,001 - $15,000",--,Tuberville,Thomas H,06/14/2024,T000278
05/03/2024,Joint,KLAC,KLA Corporation  - Common Stock,Stock,Sale (Full),"$1,001 - $15,000",--,Tuberville,Thomas H,06/14/2024,T000278
05/03/2024,Joint,INFY,Infosys Limited American Depositary Shares,Stock,Sale (Full),"$1,001 - $15,000",--,Tuberville,Thomas H,06/14/2024,T000278
05/03/2024,Joint,ITW,Illinois Tool Works Inc. Common Stock,Stock,Sale (Full),"$1,001 - $15,000",--,Tuberville,Thomas H,06/14/2024,T000278
05/03/2024,Joint,HUMA,"Humacyte, Inc. - Common Stock",Stock,Sale (Full),"$1,001 - $15,000",--,Tuberville,Thomas H,06/14/2024,T000278
05/03/2024,Joint,HUMA,"Humacyte, Inc. - Common Stock",Stock,Sale (Partial),"$15,001 - $50,000",--,Tuberville,Thomas H,06/14/2024,T000278
05/03/2024,Joint,HSY,The Hershey Company Common Stock,Stock,Sale (Full),"$1,001 - $15,000",--,Tuberville,Thomas H,06/14/2024,T000278
05/03/2024,Joint,JKHY,"Jack Henry & Associates, Inc. - Common Stock",Stock,Sale (Full),"$1,001 - $15,000",--,Tuberville,Thomas H,06/14/2024,T000278
05/03/2024,Joint,GGG,Graco Inc. Common Stock,Stock,Sale (Full),"$1,001 - $15,000",--,Tuberville,Thomas H,06/14/2024,T000278
05/03/2024,Joint,GRMN,Garmin Ltd. - Common Stock,Stock,Sale (Full),"$1,001 - $15,000",--,Tuberville,Thomas H,06/14/2024,T000278
05/03/2024,Joint,GLPI,"Gaming and Leisure Properties, Inc. - Common Stock",Stock,Sale (Full),"$1,001 - $15,000",--,Tuberville,Thomas H,06/14/2024,T000278
05/03/2024,Joint,FDS,FactSet Research Systems Inc. Common Stock,Stock,Sale (Full),"$1,001 - $15,000",--,Tuberville,Thomas H,06/14/2024,T000278
05/03/2024,Joint,ELS,"Equity Lifestyle Properties, Inc. Common Stock",Stock,Sale (Full),"$1,001 - $15,000",--,Tuberville,Thomas H,06/14/2024,T000278
05/03/2024,Joint,DECK,Deckers Outdoor Corporation Common Stock,Stock,Sale (Full),"$1,001 - $15,000",--,Tuberville,Thomas H,06/14/2024,T000278
05/03/2024,Joint,CPRT,"Copart, Inc. - Common Stock",Stock,Sale (Full),"$1,001 - $15,000",--,Tuberville,Thomas H,06/14/2024,T000278
05/03/2024,Joint,CBSH,"Commerce Bancshares, Inc. - Common Stock",Stock,Sale (Full),"$1,001 - $15,000",--,Tuberville,Thomas H,06/14/2024,T000278
05/03/2024,Joint,CTAS,Cintas Corporation - Common Stock,Stock,Sale (Full),"$1,001 - $15,000",--,Tuberville,Thomas H,06/14/2024,T000278
05/03/2024,Joint,CDNS,"Cadence Design Systems, Inc. - Common Stock",Stock,Sale (Full),"$1,001 - $15,000",--,Tuberville,Thomas H,06/14/2024,T000278
05/03/2024,Joint,DOW,Dow Inc. Common Stock,Stock,Sale (Full),"$1,001 - $15,000",--,Tuberville,Thomas H,06/14/2024,T000278
05/03/2024,Joint,BRO,"Brown & Brown, Inc. Common Stock",Stock,Sale (Full),"$1,001 - $15,000",--,Tuberville,Thomas H,06/14/2024,T000278
05/03/2024,Joint,ASML,ASML Holding N.V. - New York Registry Shares,Stock,Sale (Full),"$15,001 - $50,000",--,Tuberville,Thomas H,06/14/2024,T000278
05/03/2024,Joint,A,"Agilent Technologies, Inc. Common Stock",Stock,Sale (Full),"$1,001 - $15,000",--,Tuberville,Thomas H,06/14/2024,T000278
06/04/2024,Spouse,WFC,Wells Fargo & Company,Stock,Purchase,"$1,001 - $15,000",Dividend Reinvestment,"McConnell, Jr.",A. Mitchell,06/13/2024,M000355
06/03/2024,Spouse,FWONK,Liberty Media Formula One Sr C,Stock,Sale (Full),"$100,001 - $250,000",--,Hickenlooper,John W,06/10/2024,H000273
06/03/2024,Spouse,FWONK,Liberty Media Formula One Sr C,Stock,Purchase,"$100,001 - $250,000",Exercised stock option,Hickenlooper,John W,06/10/2024,H000273
05/20/2024,Spouse,FWONK,Liberty Media Formula One Sr C,Stock,Sale (Full),"$250,001 - $500,000",--,Hickenlooper,John W,06/10/2024,H000273
05/20/2024,Spouse,FWONK,Liberty Media Formula One Sr C,Stock,Purchase,"$100,001 - $250,000",Exercised stock option,Hickenlooper,John W,06/10/2024,H000273
05/22/2024,Self,--,Harris County Texas Toll Road Revenue Bond Rate/Coupon: 5.25% Matures: 08/15/2049,Municipal Security,Purchase,"$100,001 - $250,000",--,Scott,Rick,06/09/2024,S001189
05/22/2024,Spouse,--,Harris County Texas Toll Road Revenue Bond Rate/Coupon: 5.25% Matures: 08/15/2049,Municipal Security,Purchase,"$500,001 - $1,000,000",--,Scott,Rick,06/09/2024,S001189
05/22/2024,Self,--,Harris County Texas Toll Road Revenue Bond Rate/Coupon: 5.25% Matures: 08/15/2049,Municipal Security,Purchase,"$500,001 - $1,000,000",--,Scott,Rick,06/09/2024,S001189
05/22/2024,Spouse,--,Harris County Texas Toll Road Revenue Bond Rate/Coupon: 5.25% Matures: 08/15/2049,Municipal Security,Purchase,"$250,001 - $500,000",--,Scott,Rick,06/09/2024,S001189
05/09/2024,Self,--,San Miguel County Colorado Sch Dist Rev Bond Rate/Coupon: 5.0% Matures: 12/01/2025,Municipal Security,Sale (Full),"$100,001 - $250,000",Transaction notification provided to filer on 5/10/24,Scott,Rick,06/09/2024,S001189
05/09/2024,Self,--,Port of Seattle Washington Revenue Bond Rate/Coupon: 5.0% Matures: 05/01/2026,Municipal Security,Sale (Full),"$500,001 - $1,000,000",Transaction notification provided to filer on 5/10/24,Scott,Rick,06/09/2024,S001189
05/09/2024,Spouse,--,Port Portland Oregon Airport Revenue Bond Rate/Coupon: 5.0% Matures: 07/01/2030,Municipal Security,Sale (Full),"$250,001 - $500,000",Transaction notification provided to filer on 5/10/24,Scott,Rick,06/09/2024,S001189
05/09/2024,Spouse,--,Port Portland Oregon Airport Revenue Bond Rate/Coupon: 5.0% Matures: 07/01/2030,Municipal Security,Sale (Full),"$250,001 - $500,000",Transaction notification provided to filer on 5/10/24,Scott,Rick,06/09/2024,S001189
06/07/2024,Joint,--,Ishares TR Russell 1000 ETF,Stock,Sale (Partial),"$50,001 - $100,000",--,Mullin,Markwayne,06/07/2024,M001190
05/08/2024,Joint,IWB,iShares Russell 1000 ETF,Stock,Sale (Partial),"$100,001 - $250,000",--,Mullin,Markwayne,06/07/2024,M001190
05/08/2024,Joint,--,Pimco Commodities Plus Strategy Fund Class,Stock,Sale (Partial),"$15,001 - $50,000",--,Mullin,Markwayne,06/07/2024,M001190
05/10/2024,Self,CCI,Crown Castle Inc,Stock,Purchase,"$1,001 - $15,000",--,Whitehouse,Sheldon,06/06/2024,W000802
05/08/2024,Self,DEO,Diageo Plc ADR,Stock,Sale (Full),"$15,001 - $50,000",--,Whitehouse,Sheldon,06/06/2024,W000802
05/31/2024,Joint,GIGB,Goldman Sachs Access Investment Grade Corporate Bo,Stock,Purchase,"$1,001 - $15,000",--,Boozman,John,06/05/2024,B001236
05/31/2024,Joint,IVW,iShares S&P 500 Growth ETF,Stock,Sale (Partial),"$1,001 - $15,000",--,Boozman,John,06/05/2024,B001236
05/31/2024,Joint,EFA,iShares MSCI EAFE ETF,Stock,Sale (Partial),"$1,001 - $15,000",--,Boozman,John,06/05/2024,B001236
05/22/2024,Spouse,TGT,Target Corp,Stock,Purchase,"$1,001 - $15,000",--,Carper,Thomas R,06/03/2024,C000174
05/16/2024,Spouse,VEA,Vanguard FTSE Developed Markets ETF,Other Securities,Purchase,"$1,001 - $15,000",--,Carper,Thomas R,06/03/2024,C000174
05/16/2024,Spouse,PRF,Invesco FTSE RAFI US 1000 ETF,Other Securities,Sale (Full),"$1,001 - $15,000",--,Carper,Thomas R,06/03/2024,C000174
05/16/2024,Spouse,VIG,Vanguard Div Appreciation ETF,Other Securities,Purchase,"$1,001 - $15,000",--,Carper,Thomas R,06/03/2024,C000174
05/16/2024,Spouse,COWZ,Pacer US Cash Cows 100 Index,Other Securities,Purchase,"$1,001 - $15,000",--,Carper,Thomas R,06/03/2024,C000174
05/16/2024,Spouse,ICOW,Pacer Developed Markets International Cash,Other Securities,Purchase,"$1,001 - $15,000",--,Carper,Thomas R,06/03/2024,C000174
05/16/2024,Spouse,EFAD,Proshares MSCI EAFE Dividend Growers ETF,Other Securities,Sale (Full),"$1,001 - $15,000",--,Carper,Thomas R,06/03/2024,C000174
05/16/2024,Spouse,FDRR,Fidelity Dividend ETF For Rising Rates,Other Securities,Sale (Partial),"$1,001 - $15,000",--,Carper,Thomas R,06/03/2024,C000174
05/16/2024,Spouse,VEA,Vanguard FTSE Developed Markets ETF,Other Securities,Purchase,"$1,001 - $15,000",--,Carper,Thomas R,06/03/2024,C000174
05/16/2024,Spouse,EFAD,Proshares MSCI EAFE Dividend Growers ETF,Other Securities,Sale (Full),"$1,001 - $15,000",--,Carper,Thomas R,06/03/2024,C000174
05/15/2024,Spouse,SMDV,ProShares Russell 2000 Dividend Growers ETF,Other Securities,Sale (Full),"$1,001 - $15,000",--,Carper,Thomas R,06/03/2024,C000174
05/15/2024,Spouse,CALF,Pacer US Small Cap Cash Cows 100 ETF,Other Securities,Purchase,"$1,001 - $15,000",--,Carper,Thomas R,06/03/2024,C000174
05/14/2024,Spouse,SRVR,Pacer Benchmark Data & Infrastructure Real Estate,Other Securities,Purchase,"$1,001 - $15,000",--,Carper,Thomas R,06/03/2024,C000174
05/14/2024,Spouse,MOO,VanEck Agribusiness ETF,Other Securities,Sale (Full),"$1,001 - $15,000",--,Carper,Thomas R,06/03/2024,C000174
05/09/2024,Spouse,ATKR,Atkore Inc,Stock,Sale (Full),"$1,001 - $15,000",--,Carper,Thomas R,06/03/2024,C000174
05/09/2024,Spouse,TTE,TotalEnergies SE,Stock,Sale (Full),"$1,001 - $15,000",--,Carper,Thomas R,06/03/2024,C000174
05/09/2024,Spouse,SBUX,Starbucks Corp,Stock,Sale (Full),"$1,001 - $15,000",--,Carper,Thomas R,06/03/2024,C000174
05/09/2024,Spouse,EMR,Emerson Electric Company,Stock,Purchase,"$1,001 - $15,000",--,Carper,Thomas R,06/03/2024,C000174
05/09/2024,Spouse,OXY,Occidental Petroleum Corp,Stock,Purchase,"$1,001 - $15,000",--,Carper,Thomas R,06/03/2024,C000174
05/02/2024,Spouse,--,US TREASURY BILL,Other Securities,Sale (Full),"$50,001 - $100,000",--,Carper,Thomas R,06/03/2024,C000174
05/02/2024,Spouse,--,US TREASURY BILL,Other Securities,Sale (Full),"$15,001 - $50,000",--,Carper,Thomas R,06/03/2024,C000174
05/02/2024,Spouse,--,US TREASURY BILL,Other Securities,Sale (Full),"$100,001 - $250,000",--,Carper,Thomas R,06/03/2024,C000174
05/02/2024,Spouse,--,US TREASURY BILL,Other Securities,Purchase,"$100,001 - $250,000",--,Carper,Thomas R,06/03/2024,C000174
05/02/2024,Spouse,--,US TREASURY BILL,Other Securities,Sale (Full),"$50,001 - $100,000",--,Carper,Thomas R,06/03/2024,C000174
05/01/2024,Spouse,--,US TREASURY BILL,Other Securities,Purchase,"$50,001 - $100,000",--,Carper,Thomas R,06/03/2024,C000174
05/01/2024,Spouse,--,US TREASURY BILL,Other Securities,Purchase,"$15,001 - $50,000",--,Carper,Thomas R,06/03/2024,C000174
05/01/2024,Spouse,--,US TREASURY BILL,Other Securities,Purchase,"$50,001 - $100,000",--,Carper,Thomas R,06/03/2024,C000174
05/14/2024,Self,SOLV,Solventum Corporation,Stock,Sale (Full),"$1,001 - $15,000",--,Peters,Gary C,05/23/2024,P000595
05/14/2024,Self,CCL,Carnival Corp,Stock,Sale (Full),"$1,001 - $15,000",--,Peters,Gary C,05/23/2024,P000595
05/14/2024,Self,SLB,Schlumberger N.V.,Stock,Sale (Full),"$1,001 - $15,000",--,Peters,Gary C,05/23/2024,P000595
05/14/2024,Self,IFF,International Flavors & Fragrances,Stock,Sale (Full),"$15,001 - $50,000",--,Peters,Gary C,05/23/2024,P000595
04/30/2024,Spouse,--,JP MORGAN CHASE & CO Rate/Coupon: 6.12% Matures: 02/12/2056,Corporate Bond,Sale (Full),"$1,001 - $15,000",--,Whitehouse,Sheldon,05/20/2024,W000802
04/09/2024,Spouse,RTX,RTX Corporation Common Stock,Stock,Sale (Full),"$15,001 - $50,000",--,Whitehouse,Sheldon,05/20/2024,W000802
04/09/2024,Spouse,DHR,Danaher Corp,Stock,Sale (Full),"$15,001 - $50,000",--,Whitehouse,Sheldon,05/20/2024,W000802
04/09/2024,Spouse,UL,Unilever Plc ADR,Stock,Sale (Full),"$1,001 - $15,000",--,Whitehouse,Sheldon,05/20/2024,W000802
04/09/2024,Spouse,IR,Ingersoll Rand Inc,Stock,Sale (Full),"$1,001 - $15,000",--,Whitehouse,Sheldon,05/20/2024,W000802
04/09/2024,Self,NVS,Novartis Ag ADR,Stock,Sale (Partial),"$1,001 - $15,000",--,Whitehouse,Sheldon,05/20/2024,W000802
04/30/2024,Joint,WBA,"Walgreens Boots Alliance, Inc. - Common Stock",Stock,Sale (Full),"$50,001 - $100,000",--,Tuberville,Thomas H,05/15/2024,T000278
04/30/2024,Joint,PYPL,"PayPal Holdings, Inc. - Common Stock Option Type: Put Strike price: $75.00 Expires: 06/21/2024",Stock Option,Purchase,"$1,001 - $15,000",--,Tuberville,Thomas H,05/15/2024,T000278
04/30/2024,Joint,SBLK,Star Bulk Carriers Corp. - Common Shares,Stock,Sale (Full),"$50,001 - $100,000",--,Tuberville,Thomas H,05/15/2024,T000278
04/30/2024,Joint,SSBK,"Southern States Bancshares, Inc. - Common Stock",Stock,Sale (Full),"$50,001 - $100,000",--,Tuberville,Thomas H,05/15/2024,T000278
04/30/2024,Joint,OXY,Occidental Petroleum Corporation Common Stock,Stock,Sale (Full),"$15,001 - $50,000",--,Tuberville,Thomas H,05/15/2024,T000278
04/30/2024,Joint,NVDA,NVIDIA Corporation - Common Stock,Stock,Sale (Full),"$15,001 - $50,000",--,Tuberville,Thomas H,05/15/2024,T000278
04/30/2024,Joint,KEY,KeyCorp Common Stock,Stock,Sale (Full),"$50,001 - $100,000",--,Tuberville,Thomas H,05/15/2024,T000278
04/30/2024,Joint,GOGL,Golden Ocean Group Limited - Common Stock,Stock,Sale (Full),"$50,001 - $100,000",--,Tuberville,Thomas H,05/15/2024,T000278
04/30/2024,Joint,XOM,Exxon Mobil Corporation Common Stock,Stock,Sale (Full),"$50,001 - $100,000",--,Tuberville,Thomas H,05/15/2024,T000278
04/30/2024,Joint,CVX,Chevron Corporation Common Stock,Stock,Sale (Full),"$100,001 - $250,000",--,Tuberville,Thomas H,05/15/2024,T000278
04/30/2024,Joint,HUMA,"Humacyte, Inc. - Common Stock",Stock,Sale (Partial),"$50,001 - $100,000",--,Tuberville,Thomas H,05/15/2024,T000278
